smiles,pka_acidic
O=C([O-])COc1ccc(Cl)cc1C1CCCCCC1,3.48
O=C([O-])COc1ccc2c(c1)Cc1ccccc1-2,3
O=C([O-])CSc1ncnc2cc(-c3ccc(Br)cc3)sc12,3.5
O=C([O-])c1ccc(-c2ccccc2)cc1,3.9
O=C([O-])c1ccc(-c2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,4.1
O=C([O-])c1ccc(-c2nn(C(=O)c3c(Cl)cccc3Cl)c3ccccc23)cc1,3.2
O=C([O-])c1ccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,4.2
O=C([O-])c1ccc(NCc2cccc(Oc3ccccc3)c2)cn1,4.45
O=C([O-])c1ccccc1Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.9
O=C([O-])c1ccccc1Nc1cc(F)cc(C(F)(F)F)c1,3.9
O=C([O-])c1ccccc1Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1,4.39
O=C1CCN(Cc2ccccc2)C(=O)N1,11.7
O=C1CN(c2ccccc2)C(=O)N1,8.3
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCOCC2)nc2ccccc12,9.3
O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,8.7
O=Cc1cc(Br)cc(Br)c1O,5.3
O=S(=O)(Nc1cc(F)ccc1F)c1ccc2[nH]c3c(c2c1)CCCC3,7.3
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,8.2
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CCOC2,7.87
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,7.94
O=c1[nH]c2c(Cc3nn[n-]n3)c3ccccc3n2c2ccccc12,4.42
O=c1[nH]c2cc(-c3ccc(F)cc3)ccc2cc1[O-],8.1
O=c1[nH]c2cc(C(F)(F)F)ccc2n1Cc1cc(Cl)ccc1O,9.75
O=c1[nH]c2ccc(-c3ccc(F)cc3)cc2cc1[O-],8.2
O=c1[nH]c2ccccc2c(=O)n1CCCl,10
O=c1cc(CSc2cccc(F)c2F)nc2cc(-c3ccco3)[nH]n12,7.5
O=c1cc(CSc2cccc(F)c2F)nc2cc[nH]n12,7.35
O=c1ccc2nc3ccc(O)cc3oc-2c1,5.8
