smiles,pka_basic
COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3[nH+]1)CC2,8.9
COc1ccc(-c2c(C)nc3c(-c4ccccn4)cnn3c2N)cc1,6.07
COc1ccc(-c2ccc(C(=O)Nc3ccc4c(c3)CCC(C[NH+](C)C)C4)cc2)cc1,9.1
COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1,4.4
COc1ccc(-c2nc(Nc3ccc(F)cc3F)c3ccccc3n2)cc1OC,5.2
COc1ccc(/C=C/C(=O)N2CCN(c3ccccn3)CC2)cc1,5.3
COc1ccc(C#CC(C)(C)[NH3+])cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1,8.1
COc1ccc(CNC(=O)c2c(C)nc3ccccn23)cc1,5
COc1ccc(N)c2ccccc12,4.9
COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1,6.37
COc1ccc(Nc2ccc3ccccc3n2)cc1,6.5
COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2Cl)c1,7.1
COc1ccc(OC)c(S(=O)(=O)N2CCC(CN3CC[NH+](Cc4ccc(F)cc4)CC3)CC2)c1,7.32
COc1ccc(SC)c2c1C[C@@H]1[C@@H](C2)OCC[NH+]1C,6.25
COc1ccc(SCCc2ccncc2)cc1,5.6
COc1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1,4.65
COc1ccc2c(c1)CN(C(=O)CC[NH+]1CCC(Cc3ccccc3)CC1)CCS2,8.3
COc1ccc2c(c1)C[NH+](C)CCS2,7.5
COc1ccc2nccc(-n3cc4c(n3)CCC(NC(=O)c3ccc5c(c3)NC(=O)CS5)C4)c2n1,3.8
COc1cccc(-c2cccc(CCC3(C)CC(=O)N(C)C(N)=[NH+]3)c2)c1,9.4
COc1cccc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)c2)c1,5.3
COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CC[NH2+]CC4)n(CC=C(C)C)c3c2=O)c1,8.2
COc1cccc2[nH]cc(-c3ccnc(N)n3)c12,5.522
COc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,5.283333
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)cc3)c2)cc1,4.9
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1,4.8
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,3.84
C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]C2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,7.7
C[NH+](C)CC1CCc2cc(NC(=O)c3ccc(-c4ccc(F)cc4)cc3)ccc2C1,9.1
C[NH+](C)CCSc1nc2ccccc2cc1-c1ccccc1,8.4
C[NH+](CCC(=O)N1CCN(c2ccc(F)c(F)c2)CC1)CCC1c2ccccc2-c2ccccc21,7.8
C[NH+](CCC(=O)N1CCN(c2ccc(F)c(F)c2)CC1)CCC1c2ccccc2Oc2ccccc21,7.9
Cc1[nH]c2ccccc2c1C1CC[NH+](Cc2ccc(CCC(=O)N=O)cc2)C1,8.59
Cc1[nH]c2ccccc2c1CC[NH+]1CCc2cc(CCC(=O)N=O)ccc2C1,7.955
Cc1[nH]c2ccccc2c1CC[NH2+]Cc1ccc(CCC(=O)N=O)cc1,8.6
Cc1cc(C(=O)C[NH+]2CCCC2)c(C)n1-c1ccc(F)cc1,9
Cc1cc(C)c2cc(C(=O)NC3CC[NH+](C)CC3)[nH]c2c1,8.5
Cc1cc(C)nc(N2CCC3(CCCC(=O)N3Cc3cccc4[nH]ccc34)CC2)n1,4.4
Cc1cc(C)nc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,4.94
Cc1cc(C)nc(N2CCC3(CCCN(Cc4ccccc4-c4nc(C)no4)C3=O)CC2)n1,4.8
Cc1cc(C)nc(N2CCC3(CCCN(Cc4cn(C)c5ccccc45)C3=O)CC2)n1,4.7
Cc1cc(C)nc(N2CCC3(CCCN(Cc4nn(C)cc4-c4ccccc4)C3=O)CC2)n1,4.75
Cc1cc(C)nc(N2CCC3(CCCN(Cc4nn(C)nc4-c4ccccc4)C3=O)CC2)n1,4.7
Cc1cc(N)nc2ccccc12,7.9
Cc1cc(N2CCCC2)cc(/C=C/c2cccc(C(F)(F)F)c2)[nH+]1,9.43
Cc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc(C[NH+](C)C4CCOCC4)cc2)CCC3)cc1,8.3
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,4.63
Cc1ccc(C)c(CN2C(=O)CCCC23CCN(c2cnc4ccccc4n2)CC3)c1,3.4
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ccc2ncn(C)c(=O)c2c1,3.6
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,3.9
Cc1ccc(Nc2ncc(C(=O)N3CCCCC3)cc2Cl)cn1,5.2
Cc1ccc(OC(C)(C)C(=O)N[C@@H](C)[C@@H](Cc2ccc(OCCF)cc2)c2cccc(C#N)c2)nc1,2.7
Cc1ccc2nc(N)ccc2c1,7.6
Cc1cccc(C)c1C(=O)N1CCC(C)([NH+]2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.35
Cc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,4.2
Cc1csc2ccc3[nH]c4c(c3c12)C[NH+](C)CC4,8.6
Cc1csc2ncnc(NCCc3ccc(Cl)cc3)c12,3.9
Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1,4.35
Cc1nc(N2CCN(CC3CC3)C2=O)sc1C(=O)NCc1cccnc1,5
Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)NCc1ccccn1,4.28
Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OC2CC[NH+](C3CCC3)CC2)cc1,9
Cc1nc2ccccn2c1C(=O)NCc1ccc(-c2ccccc2)cc1,4.7
Cc1nc2ccccn2c1C(=O)NCc1ccc(Cl)cc1,5.1
Cc1nc[n+]([O-])c(C)c1C(=O)N1CCC(C)([NH+]2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.5
Cc1ncc(-c2ccc(C(F)(F)F)cc2)c(NC2C3CC4CC(C3)CC2C4)n1,6
Cc1ncc(-c2ccc(C(F)(F)F)cc2)c(NC2CCCCCC2)n1,6
Cc1ncccc1Oc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,4.18
Clc1ccc(-c2ccc(-c3ccnc(N4CC[NH2+]CC4)n3)s2)cc1,8.9
Clc1ccc2c(c1)[NH+]=C(N1CCCCC1)c1ccccc1N2,7.2
Cn1c(-c2ccc(C[NH+](C)C)cc2)cc2onc(-c3ccccc3)c2c1=O,8.375
Cn1c(N)nc2ccccc2c1=O,5.2
Fc1ccc([C@H]2CC[NH2+]C[C@@H]2COc2ccc3c(c2)OCO3)cc1,9.5
Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,5.3
Fc1cccc(-c2c[nH]c3ncccc23)c1,4.1
Fc1ccccc1C1=Cc2ccccc2C2=[NH+]CCN12,10.2
N#Cc1cc(C[NH+]2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,7
N#Cc1ccc2[nH]cc(-c3ccnc(N)n3)c2c1,5.3
N#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,4.6
NC(=O)c1ccc(-c2cc(-c3ccccc3)cnc2N)cc1,5.4
NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,4
NC1=[NH+]c2ccccc2CC1,9.55
Nc1ccc(-c2cc3ccccc3oc2=O)cc1,3.9
Nc1ccc2ccccc2n1,7.5
Nc1n[nH]c2cc(Br)ccc12,2.9
Nc1nc(-c2ccccc2)cc2ccccc12,6.9
Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(Cl)cc1Cl,5.6
Nc1nccc(N2CCc3ccc(Br)cc32)n1,6.9
Nc1ncnc2ccc(-c3cccc(F)c3)nc12,4.7
Nc1ncnc2ccc(-c3ccnc(F)c3)nc12,4.5
O=C(/C=C/c1ccc(Br)cc1)N1CC[NH+](Cc2ccccc2)CC1,6.1
O=C(CSc1nccn1C1CCCC1)Nc1ccc(C(F)(F)F)cc1,5.1
O=C(Cc1ccccc1)N1CCCC12CCN(c1cnc3ccccc3n1)CC2,3.6
O=C(NCC[NH+]1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc(F)cc1,8.77
O=C(NCc1ccc(Cl)cc1)c1cn2c(CCO)cc3cc(C[NH+]4CCOCC4)cc(c1=O)c32,5.9
O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ncccn2)CC1,3.8
O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,5.2
O=C(Nc1cccc2cnccc12)c1ccc(-c2ccccc2)cc1,4.1
O=C1CCCC2(CCN(c3cnc4ccccc4n3)CC2)N1Cc1c[nH]c2ccccc12,3.3
O=C1CCCC2(CCN(c3cnc4ccccc4n3)CC2)N1Cc1ccccc1,3.3
O=C1CN=C(c2ccccc2)c2cc3ccccc3cc2N1,3.8
O=C1N(Cc2c[nH]c3ccccc23)CCCC12CCN(c1cnc3ccccc3n1)CC2,3.9
O=C1N(Cc2c[nH]c3ccccc23)CCCC12CCN(c1ncccn1)CC2,3.8
O=C1N(Cc2cccc3[nH]ccc23)CCCC12CCN(c1cnc3ccccc3n1)CC2,3.75
O=C1N(Cc2ccccc2)CCCC12CCN(c1cnc3ccccc3n1)CC2,3.6
O=NC(=O)CCc1ccc(C[NH+]2CCC(c3c[nH]c4ccccc34)CC2)cc1,8.55
O=NC(=O)CCc1ccc(C[NH2+]CC23CC4CC(CC(C4)C2)C3)cc1,8.845
O=S(=O)(c1ccccc1)n1cc(-c2cccc3nccn23)c2ccccc21,6.4
OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,4.6
[NH3+]C(CO)c1ccccc1,8.4
c1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1,4.9
c1ccc(-c2nc3n(c2-c2ccccc2)CCS3)cc1,4.8
c1ccc(N2CC[NH2+]CC2)cc1,9
c1ccc(Nc2nc(NC3CCCCC3)nc3ccccc23)cc1,8
c1ccc(Nc2ncc3ccccc3n2)cc1,3.6
