smiles,pka_acidic,group
Oc1[nH+]cnc2ccccc12,2.12,None
Cc1cccc([N+](=O)[O-])c1C(=O)O,2.13,None
Brc1nnn[nH]1,2.13,None
Cc1nnnn1CC(=O)O,2.16,None
O=C(O)c1cc(Cl)cc([N+](=O)[O-])c1,2.17,None
[NH3+]C(Cc1n[nH]c2ccccc12)C(=O)O,2.2,None
CCCCS(=O)O,2.2,None
[NH3+]C(Cn1cccn1)C(=O)O,2.2,None
CC(C)(C)c1ccc(-c2c(O)c2=O)cc1,2.21,None
Nc1nc[nH+]c(S)c1N,2.21,None
CCC[NH2+]C(C)C(=O)O,2.21,None
C[NH2+]C(C)C(=O)O,2.22,None
CC[NH2+]C(C)C(=O)O,2.22,None
O=C1COC(=O)C1Br,2.23,None
Cc1nnn(CC(=O)O)n1,2.23,None
CC(=O)N1CS(=O)(=O)CC1C(=O)O,2.23,None
N#CC(Cc1ccccc1)C(=O)O,2.24,None
C[NH2+]CC(=O)O,2.24,None
Oc1nccc[nH+]1,2.24,None
[NH3+]C(Cc1c[nH]c[nH+]1)C(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.25,None
Cc1n[nH]c(C(=O)O)c1[N+](=O)[O-],2.26,None
CC1(C)OC(=O)CC2C(C(=O)O)[NH2+]CC21,2.27,None
CCS(=O)O,2.27,None
O=C(O)Cn1cnnn1,2.27,None
CN(C)c1cccc[n+]1O,2.27,None
Oc1cc[nH+]c2ccccc12,2.27,None
CC(C#N)(Cc1ccccc1)C(=O)O,2.29,None
NC(=O)CN(CC(=O)O)CC(=O)O,2.29,None
C[n+]1cccc(C(=O)O)c1,2.29,None
CC(C)(C)C(=O)C(=O)O,2.3,None
Oc1onc(-c2ccccc2)c1Br,2.3,None
O=C1COC(=O)C1I,2.31,None
CC[NH2+]CC(=O)O,2.31,None
CCC[NH2+]CC(=O)O,2.31,None
CCCC[NH2+]CC(=O)O,2.32,None
CC(C)=CCC1C(=O)C(C(=O)CC(C)C)=C(O)C1O,2.35,None
CCCS(=O)O,2.35,None
CC(C)[NH2+]CC(=O)O,2.35,None
CS(=O)O,2.35,None
CC(C#N)C(=O)O,2.37,None
O=C(O)c1cc2cc(Cn3cc[nH+]c3)ccc2o1,2.38,None
Nc1nnnn1CC(=O)O,2.38,None
O=C(c1ccccc1)c1cccc([N+](=O)[O-])c1C(=O)O,2.39,None
CC(C)([NH3+])C(=O)O,2.39,None
COC(=O)CC1C(C(=O)O)[NH2+]CC1C(C)O,2.4,None
C[n+]1cc(S)cc2ccccc21,2.4,None
Oc1cc[n+](O)cc1,2.4,None
NC1=[NH+]C(C(=O)O)C(C(O)C[NH3+])N1,2.4,None
C=C1CC1CC([NH3+])C(=O)O,2.4,None
Cc1cc(O)[nH+]c2c1CCO2,2.42,None
O=C(S)c1ccccc1,2.44,None
CC(C)C12C[NH2+]C(C(=O)O)C1CC(=O)O2,2.45,None
N#CCC(=O)O,2.46,None
[NH3+]C(CCCCN1C(=O)CC([NH3+])C1=O)C(=O)O,2.5,None
O=C(O)C1CCCC[NH2+]1,2.5,None
CC(=O)N1CS(=O)CC1C(=O)O,2.5,None
O=[N+]([O-])c1cc([N+](=O)[O-])c2cn[nH]c2c1O,2.5,None
C=CC(Cl)C(=O)O,2.54,None
CC(C)(C)CC#CC(=O)O,2.54,None
Cc1cc(C(O)=C(C#N)C#N)cc(C)c1O,2.55,None
Cc1ccc([N+](=O)[O-])c(C(=O)O)c1,2.55,None
O=C(O)CF,2.56,None
CO[n+]1ccc(O)cc1,2.57,None
Cc1cccc(Cl)c1C(=O)O,2.59,None
Cc1ccc(C(=O)S)cc1,2.59,None
CCC#CC(=O)O,2.6,None
CNc1cccc[n+]1O,2.61,None
[NH3+]CC(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.61,None
CC1(C)SC2C(NC(=O)Cc3ccc(O)cc3)C(=O)N2C1C(=O)O,2.62,None
[NH3+]Cc1nnn[nH]1,2.62,None
O=C(O)C12C[NH2+]CCC1O2,2.63,None
Cn1c[nH+]cc1CC(NC(=O)CC[NH3+])C(=O)O,2.64,None
Oc1[nH+]ccc2cccnc12,2.64,None
CC(C)(C)C#CC(=O)O,2.66,None
[NH3+]C1(C(=O)O)CCCCC1,2.66,None
Nc1cccc[n+]1O,2.67,None
O=C(O)c1ccc([N+](=O)[O-])s1,2.68,None
O=C(O)c1sccc1[N+](=O)[O-],2.68,None
Cc1ccc(C(=O)O)c([N+](=O)[O-])c1,2.68,None
NC(=[NH2+])NOCC(=O)O,2.69,None
O=C(O)c1cc(Cl)co1,2.69,None
CC1(CC2CCOC2)CC2C34COC(=O)CC3OC(C)(C)C4CC(=O)C2(C)C2(C1)OC2C(=O)O,2.7,None
O=C(O)c1cnccn1,2.7,None
Cc1cccc(I)c1C(=O)O,2.7,None
c1ccc(-c2nnn[nH]2)c(-c2nnn[nH]2)c1,2.71,None
O=C1CC(=O)CS(=O)(=O)C1,2.72,None
O=P1(O)CCCCC1,2.73,None
O=C(O)c1cc([N+](=O)[O-])ccc1F,2.73,None
O=C(O)c1cc2cc(Cn3cc[nH+]c3)ccc2s1,2.74,None
O=C(O)c1ccc(Cl)cc1Cl,2.74,None
CC(C)CS(=O)O,2.75,None
CC(C)CC([NH3+])C(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.76,None
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.76,None
C=CC1(O)C[NH+]2CCC1CC2C(O)c1cc(O)[nH+]c2ccccc12,2.76,None
CCN(CC)S(=O)(=O)c1ccsc1C(=O)O,2.77,None
O=C(O)C(=O)C(c1ccccc1)c1ccccc1,2.78,None
[NH3+]CC(O)C(=O)O,2.78,None
O=C(O)CC(c1[nH]cc[nH+]1)c1[nH]cc[nH+]1,2.79,None
Cc1ccc(OCC(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc1,2.8,None
O=C(O)c1ccnnc1,2.8,None
CC[NH+](CC)Cc1cc([N+](=O)[O-])c2ccccc2c1O,2.82,None
OCCNC(=S)S,2.82,None
CC(C)C(Br)C(=O)O,2.82,None
O=C(O)c1cc([N+](=O)[O-])cs1,2.83,None
Cc1ccc(Sc2ccc([N+](=O)[O-])cc2C(=O)O)cc1,2.84,None
CCC=CCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.84,None
CS(=O)(=O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,2.84,None
O=C(O)c1cc2ccccc2o1,2.84,None
O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1,2.85,None
COCCNC(=S)S,2.85,None
O=C(O)c1ncccn1,2.85,None
CCn1nnnc1CC(=O)O,2.85,None
Oc1cc[nH+]c2cccnc12,2.85,None
Ic1nnn[nH]1,2.85,None
O=C(O)c1cc([N+](=O)[O-])ccc1C(=O)c1ccccc1,2.86,None
O=C(O)c1cc[n+]([O-])cc1,2.86,None
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)c1ccccc1,2.87,None
CN(C)C(=S)OCC(=O)O,2.87,None
CC(Cl)C(=O)O,2.88,None
O=C1Cc2c1cc([N+](=O)[O-])c(O)c2Br,2.88,None
O=C(O)COc1ccc([N+](=O)[O-])cc1,2.89,None
Cc1cccc(C(=O)O)c1Br,2.9,None
O=C(O)COc1ccccc1[N+](=O)[O-],2.9,None
O=C(O)CC1[NH2+]Nc2ccccc21,2.9,None
[NH3+]CC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)O,2.91,None
COc1cc2c(O)cc(C)[nH+]c2c2c(C)c(C)oc12,2.91,None
Cc1cccc(C(=O)O)c1[N+](=O)[O-],2.91,None
O=C(O)C1(O)c2ccccc2-c2ccccc21,2.92,None
Cc1cccc(C(=O)O)c1I,2.92,None
O=C(O)c1ccccc1Br,2.93,None
O=C(O)c1ccc(I)o1,2.94,None
CC(=O)N1CSCC1C(=O)O,2.94,None
CC(=O)NC(Cc1c[nH]c[nH+]1)C(=O)O,2.94,None
CC1(C(=O)O)CCC=[N+]1[O-],2.95,None
[NH3+]CC(=O)N1CCCC1C(=O)O,2.95,None
S=C(S)NC1CCCCC1,2.95,None
O=C(O)c1ccccc1Cl,2.95,None
Cc1ccc(I)c(C(=O)O)c1,2.95,None
CCN(CC)S(=O)(=O)c1ccccc1C(=O)O,2.96,None
Nc1c[nH+]c(S)nc1N,2.96,None
[NH3+]c1cccc(OC2OC(C(=O)O)C(O)C(O)C2O)c1,2.97,None
CC(Br)C(=O)O,2.97,None
S=C(S)N1CCCC1,2.97,None
CSC(=S)N(C)CC(=O)O,2.98,None
O=[N+]([O-])c1ccccc1-c1nnn[nH]1,2.98,None
Cc1c(C(=O)O)cccc1[N+](=O)[O-],2.98,None
O=C(O)c1cncs1,2.99,None
O=C(O)C(O)Cc1c[nH]c[nH+]1,2.99,None
C[n+]1c2ccccc2nc2ccc(O)cc21,3,None
O=C(O)c1c2ccccc2[nH+]c2ccccc12,3,None
O=C(O)C1OC(Oc2ccc3[nH+]cccc3c2)C(O)C(O)C1O,3,None
O=C(O)C1OC(Oc2c[nH+]c3ccccc3c2)C(O)C(O)C1O,3,None
O=[N+]([O-])c1cc(C[NH+]2CCOCC2)c(O)c2ccccc12,3,None
O=C(O)c1cnc(Cl)s1,3,None
O=C1CC(=O)C(=O)C1,3,None
NC(=O)C1CC(=O)NC1C(=O)O,3,None
CC(=O)c1ccc(C(=O)O)s1,3,None
Cc1cccc(C(=O)O)c1Cl,3,None
O=C(O)C1OC(Oc2cccc3ccc[nH+]c23)C(O)C(O)C1O,3.01,None
CN(C)C(=O)OCC(=O)O,3.01,None
Cc1cnc(C(=O)O)s1,3.03,None
O=C(O)C(O)c1cccc([N+](=O)[O-])c1,3.03,None
CC(C)=C(C#N)C(=O)O,3.04,None
[NH3+]C(CCc1ccc([N+](=O)[O-])cc1)C(=O)O,3.05,None
O=C(O)C(O)(c1ccccc1)c1ccccc1,3.05,None
CC(C)CCC([NH3+])C(=O)O,3.06,None
N#CC(=CC(=O)O)c1ccccc1,3.07,None
O=P1(O)CCC1,3.07,None
Cn1cnc2c(O)[nH+]c(N)nc21,3.07,None
CP(C)(=O)O,3.08,None
O=[N+]([O-])c1ccc(-c2nnn[nH]2)cc1,3.08,None
CC(=O)CC(=O)O,3.09,None
[NH3+]c1cccc(C(=O)O)c1,3.09,None
Cc1ccc(C(=O)O)c(Br)c1,3.09,None
O=C(O)C#COc1ccccc1,3.09,None
[NH3+]c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,3.1,None
CC1(C)SC2C(C(=O)[O-])[NH+]=C(CCCC([NH3+])C(=O)[O-])N2C1C(=O)O,3.1,None
O=C(O)C1OC(Oc2cccc3[nH+]cccc23)C(O)C(O)C1O,3.1,None
CC(C)NC(=S)S,3.1,None
CCNc1cc[nH+]c(S)n1,3.1,None
Cc1c(Cl)c([N+](=O)[O-])cc2c1nnn2O,3.1,None
CC1(C)CC(=O)C(Br)C(=O)C1,3.1,None
O=C(O)c1cc2ccccc2s1,3.1,None
O=C(O)Cc1nnnn1-c1ccccc1,3.1,None
C[N+](C)(C)NC(=O)c1ccc([N+](=O)[O-])cc1,3.11,None
Cc1ccc2ccccc2c1C(=O)O,3.11,None
O=C(O)c1cc(Br)cs1,3.11,None
O=C1CC(=O)CS(=O)C1,3.12,None
Cc1ccc(Cl)c(C(=O)O)c1,3.12,None
COc1c(C)cc2c(c1C(=O)O)COC2,3.13,None
CS(=O)(=O)Nc1ccc(CC([NH3+])C(=O)O)cc1,3.15,None
Nc1nc2c(ncn2C2C=CC(CO)C2)c(O)[nH+]1,3.15,None
O=C(O)C1COCCO1,3.15,None
O=C(O)COc1ccccc1,3.15,None
Cc1ccc(OCC(=O)O)cc1,3.15,None
C[N+](C)(C)NC(=O)c1cccc([N+](=O)[O-])c1,3.16,None
O=C(O)CI,3.16,None
CC(=O)N(C)CC(=O)O,3.16,None
Cc1c([N+](=O)[O-])cc(Cl)c2nnn(O)c12,3.17,None
Cc1ccccc1OCC(=O)O,3.17,None
O=C(O)c1ccco1,3.18,None
O=C(O)CSc1ccccc1[N+](=O)[O-],3.18,None
O=C1C=C(O)C(=O)c2ccccc21,3.19,None
CSC(=S)NCC(=O)O,3.19,None
CC(=O)N1CC2(C(C)C)OC(=O)CC2C1C(=O)O,3.2,None
CCCCNc1cc[nH+]c(S)n1,3.2,None
O=C(O)c1cccc(=O)cc1,3.2,None
Cc1ccc(C(=O)O)c(I)c1,3.2,None
Cc1cc(-c2c(C)noc2O)on1,3.2,None
Cc1cccc([NH3+])c1C(=O)O,3.2,None
CC(I)C(=O)O,3.21,None
Cc1c(Cl)cc2nnn(O)c2c1[N+](=O)[O-],3.21,None
C[n+]1cccc2c(S)cccc21,3.22,None
N#Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,3.22,None
CCP(=O)(O)CC,3.22,None
CC=C(Cl)C(=O)O,3.22,None
CCCCCP(=O)(O)CCCCC,3.23,None
CNC(=O)C=C(C)C(=O)O,3.23,None
CC#CC#CCC(=O)O,3.23,None
O=C(O)C12CC3(F)CC(F)(CC(F)(C3)C1)C2,3.24,None
CCCCCCP(=O)(O)CCCCCC,3.24,None
O=C(O)c1csc([N+](=O)[O-])c1,3.24,None
CCC(C)CC([NH3+])C(=O)O,3.25,None
O=[N+]([O-])c1cccc(-c2nnn[nH]2)c1,3.25,None
CC(C)CP(=O)(O)CC(C)C,3.25,None
CC(C)CCP(=O)(O)CCC(C)C,3.26,None
Cc1ncc(C(=O)O)s1,3.26,None
O=C(O)c1ccc(=O)oc1,3.26,None
CC(=O)c1c(C(=O)O)cccc1[N+](=O)[O-],3.26,None
Cc1ccc(C(=O)O)c(Cl)c1,3.27,None
CC(=O)c1ccc([N+](=O)[O-])cc1C(=O)O,3.27,None
O=C(O)c1csc(Br)n1,3.28,None
O=C(O)[c+]1cccccc1,3.29,None
[NH3+]c1ccccc1OC1OC(C(=O)O)C(O)C(O)C1O,3.3,None
Oc1onc2c1CC[NH+](Cc1ccccc1)CC2,3.3,None
O=C(O)c1csc(Cl)n1,3.3,None
O=C(O)c1ccc(Br)s1,3.3,None
O=C(O)Cn1cccc1,3.3,None
Oc1onc2c1CC[NH2+]CC2,3.3,None
CC1CCCC(C(=O)O)c2nnnn21,3.3,None
Cc1cc2ccccc2c(C(=O)O)c1C,3.33,None
CCCP(=O)(O)CCC,3.33,None
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,3.33,None
O=C(O)C=CC(=O)c1ccccc1,3.34,None
CN(C)C(=S)SCC(=O)O,3.34,None
Cc1cccc(O)c1C(=O)O,3.35,None
Cc1c(Br)cccc1C(=O)O,3.36,None
Cc1ccccc1OC(C)C(=O)O,3.37,None
CCC(CC)C(=O)OC1OC(C(=O)O)C(O)C(O)C1O,3.37,None
O=C(O)C1CCc2ccccc2O1,3.38,None
CCc1ccc(C(=O)C=CC(=O)O)cc1,3.38,None
CC(O)(c1ccccc1)C(C(=O)O)c1ccc(-c2ccccc2)cc1,3.38,None
O=C(O)C1CC[NH2+]C1,3.38,None
c1cc(-c2nn[nH]n2)cc(-c2nnn[nH]2)c1,3.38,None
O=C(O)c1cnoc1,3.39,None
O=C(O)Cn1ccc2ccccc21,3.4,None
CC(C)c1ccc(C(=O)C=CC(=O)O)cc1,3.4,None
O=[N+]([O-])c1ccc(S)c([N+](=O)[O-])c1,3.4,None
O=C(O)CSc1cccc([N+](=O)[O-])c1,3.4,None
C=C(SC1CCCCC1)C(=O)O,3.4,None
CC(C)CN(CC(C)C)C(=S)S,3.4,None
CCC(C)(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1,3.41,None
O=C(O)c1ccc(Cl)s1,3.41,None
C=CC#CCC(=O)O,3.41,None
CC(C)(C)c1ccc(C(=O)C=CC(=O)O)cc1,3.42,None
Cc1ccc(C(=O)O)o1,3.42,None
C=C(C)C(C)(C(N)=O)C(=O)O,3.42,None
CCC(Oc1ccccc1C)C(=O)O,3.43,None
O=C(O)c1ccc[se]1,3.43,None
O=C(O)c1ccc([N+](=O)[O-])cc1,3.43,None
Cc1c(Cl)cccc1C(=O)O,3.43,None
C[N+]1(CCC(=O)O)CCCCC1,3.43,None
O=C(O)CC#Cc1ccccc1,3.44,None
Cc1ccc(C(=O)C=CC(=O)O)cc1,3.44,None
Cc1cc(C(C)(C)C)cc(C)c1C(=O)O,3.44,None
Cn1nnc(CC(=O)O)n1,3.44,None
N#CC(C#N)=C(C#N)Nc1cccc([N+](=O)[O-])c1,3.45,None
CC1CCC(O)(C(C(=O)O)c2ccc(-c3ccccc3)cc2)CC1,3.45,None
O=C(O)C[Se]c1ccccc1[N+](=O)[O-],3.45,None
O=C(O)c1ccccc1-c1ccccc1,3.46,None
O=C(O)c1cccs1,3.46,None
Cc1ccccc1SCC(=O)O,3.46,None
COc1cccc(C)c1C(=O)O,3.46,None
O=P(O)(C1CCCCC1)C1CCCCC1,3.47,None
O=C(O)c1cccc([N+](=O)[O-])c1,3.47,None
CC(C)C(C(=O)O)N1CC(NC(=O)Cc2ccccc2)C1=O,3.48,None
O=Cc1cc([N+](=O)[O-])cc(Br)c1O,3.48,None
CC(C)(C)OOCC(=O)O,3.49,None
[NH3+]c1ccc(CC(=O)O)cc1,3.49,None
O=C(O)CSC=Cc1ccccc1,3.5,None
O=[N+]([O-])c1cc(Cl)ccc1O,3.5,None
Cn1cc([NH3+])cc1C(=O)O,3.5,None
NC(=O)c1c(CC(=O)O)n[nH]c1N,3.5,None
CCC1C(=O)C(CC)C1=O,3.5,None
O=S(=O)(Nc1cccc(C(F)(F)F)c1)C(F)(F)F,3.5,None
O=C1OC2C3CC4C2C4(C(=O)O)C13Br,3.5,None
O=C(O)C1CC1(Cl)Cl,3.51,None
NC(=O)C#CC#CC=CC(=O)O,3.52,None
O=C(O)CSc1ccccc1,3.52,None
CC(C)(C)c1ccccc1C(=O)O,3.53,None
O=C(O)c1ccccc1Oc1ccccc1,3.53,None
COCC(=O)O,3.53,None
NS(=O)(=O)c1ccc(C(=O)O)cc1,3.53,None
N#Cc1ccc(-c2nnn[nH]2)cc1,3.53,None
N#Cc1ccc(C(=O)O)cc1,3.53,None
O=C(O)c1ccccc1C(=O)c1ccccc1,3.54,None
Cc1ncsc1C(=O)O,3.54,None
O=C(O)c1cccc[n+]1[O-],3.54,None
O=C(O)Cn1c2ccccc2c2ccccc21,3.55,None
CCCCCCCCCCCC[NH2+]CCC(=O)O,3.55,None
COC1OC(C(=O)O)C(O)C(O)C1O,3.55,None
O=C(O)C[Se]c1cccc([N+](=O)[O-])c1,3.55,None
CCCCCCCC[NH2+]CCC(=O)O,3.56,None
CC(C)P(=O)(O)C(C)C,3.56,None
O=C(O)C1CC1(Br)Br,3.57,None
Nc1nc[nH+]c(O)c1N,3.57,None
Cn1cnc2nc(N)[nH+]c(O)c21,3.57,None
Cc1ccc(SCC(=O)O)cc1,3.57,None
Cn1c(=O)c2[nH]c([N+](=O)[O-])nc2n(C)c1=O,3.58,None
Cc1ccc(Br)cc1C(=O)O,3.58,None
O=C(O)C(c1ccc(-c2ccccc2)cc1)C1(O)CCCCC1,3.59,None
[NH3+]CCC(=O)O,3.59,None
[NH3+]C1CCCCC1C(=O)O,3.59,None
O=C(O)c1ccccc1OC1OC(CO)C(O)C(O)C1O,3.6,None
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,3.6,None
CC#CCC(=O)O,3.6,None
O=C(O)c1ccccc1F,3.6,None
CC(NC(=O)C1CCC(=O)N1)C(=O)O,3.6,None
N#Cc1cccc(C(=O)O)c1,3.6,None
CCOCC(=O)O,3.61,None
CC[NH2+]CCC(=O)O,3.61,None
Clc1cccc(-c2nnn[nH]2)c1,3.61,None
CCCCCC[NH2+]CCC(=O)O,3.61,None
Cc1ccc(I)cc1C(=O)O,3.62,None
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],3.62,None
O=C(O)c1ccc(-c2nnn[nH]2)cc1,3.63,None
Cc1ccc(Cl)cc1C(=O)O,3.63,None
CC(C)c1ccccc1C(=O)O,3.64,None
O=C(O)c1cscn1,3.64,None
CC(C)c1csc(C(=O)O)c1,3.64,None
O=C(O)c1c2ccccc2cc2ccccc12,3.65,None
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],3.65,None
CC1(C)CC(=O)C(C=O)C(=O)C1,3.65,None
CC(C)(C)OC(=O)NC(CCC(N)=O)C(=O)O,3.66,None
CC(NC(=O)C(CCC(N)=O)NC(=O)C1CCC(=O)N1)C(=O)O,3.67,None
CSCC(=O)O,3.67,None
N#CO,3.67,None
O=CO,3.69,None
